track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1dcNEEtODRVZEevQ20Cgmy,Nangangamba,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,4kHntHygZZcKMRXGE2k1Fw,210354,2020-08-07,70,0.62,0.547,1.0,-6.772,1.0,0.0248,0.112,0.0,0.19,0.208,98.032
2X5AFygz5SDYlXagyPw8kX,Binibini,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0oJLtle44OSumLZj1WDEf0,221538,2021-03-26,67,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863
35unzCfhT0U4gYcCgdf9DX,Sigurado,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,3XogEmDvNKbXTIYkoZgG5V,235471,2020-12-04,55,0.734,0.413,7.0,-8.973,1.0,0.0316,0.0984,0.0,0.28,0.68,105.98
6RUEFRLol05iSCzQaCHNK5,Iyong Iyo,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,6Pa87VouOnvJGvSLYdAevR,202941,2021-02-12,56,0.634,0.34,2.0,-10.694,1.0,0.034,0.354,0.0,0.0962,0.413,136.146
6j9kSGlYLZdZ9sZkY9DjzY,Binibini (Last Day On Earth) (feat. James TW),67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0MsGCH9D7oBrAO9QrwZGXs,219692,2021-06-11,54,0.564,0.391,5.0,-7.655,1.0,0.0311,0.478,0.0,0.127,0.101,130.03
0zANeX4R6uWb82gCQAguOD,Habang Buhay,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7Mp9hdsWS0vbxKvYkT77hS,244067,2021-09-17,69,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013
55RMhrPQYA6vLu5YMgXxFD,Binibini,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,221538,2021-10-15,65,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863
63bmIgH9sS6sX5Sc7MetGq,Habang Buhay,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,244067,2021-10-15,69,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013
7EGZrCSNXLYhDBqZ7fF6XC,Hindi Ko Kaya,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,196363,2021-10-15,50,0.527,0.423,1.0,-9.88,1.0,0.0432,0.0797,0.0,0.085,0.524,76.807
5e9DrLUUZraUE7mmniufjn,Heart Canâ€™t Lose,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,240952,2021-10-15,55,0.647,0.567,1.0,-8.971,1.0,0.0328,0.0318,0.0,0.133,0.374,125.871
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,244800,2021-10-15,73,0.627,0.363,8.0,-8.127,1.0,0.0291,0.279,0.0,0.0928,0.301,99.905
08MFgEQeVLF37EyZ7jcwLc,Pano,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,1HJ34zQqSqNvZeO2W6dE01,254400,2021-12-06,75,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839
6xlrgkUrgMxkjK9y1LCRb1,HATDOG (ft. James Reid),67IN4cLJ7798gUapyZlmac,Zack Tabudlo,4tHTQhh34jaLf5KrQzeP0L,187843,2022-01-01,53,0.475,0.394,7.0,-8.235,1.0,0.0458,0.788,0.00165,0.388,0.137,126.828
0i1L1kVFgXmxx4oOJ8gnCf,Iba (ft. Moira Dela Torre),67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7DUZnNUUYG0tMsurTT8HlC,255857,2022-02-10,0,0.563,0.799,2.0,-4.599,1.0,0.0358,0.529,0.000241,0.28,0.469,140.045
6FTQJjBTyBmjluSDwzHMNh,Iba (ft. Moira Dela Torre),67IN4cLJ7798gUapyZlmac,Zack Tabudlo,6Omy5SYpfwNZEzoFDh7fbj,255857,2022-02-14,62,0.563,0.799,2.0,-4.599,1.0,0.0358,0.529,0.000241,0.28,0.469,140.045
5MYPzdIWgx3pMLRGlq2fVq,Asan Ka Na Ba,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0MK93ibEen72O8dosu3WXE,241132,2022-03-25,73,0.676,0.768,5.0,-5.695,0.0,0.0294,0.149,0.00147,0.345,0.493,105.999
7vu53hQrIoH7UGeh6qcct1,As You Are,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,68YaPXKkLyRd4NQHZpjxkn,183969,2022-04-29,65,0.715,0.438,10.0,-6.147,0.0,0.0373,0.353,1.75e-06,0.108,0.447,81.07
